ano,mes,data,regiao,uf,municipio,expectativa_vida,taxa_mortalidade,taxa_internacao,cobertura_vacinal,medicos_por_1000,leitos_hospitalares,casos_doencas_cronicas,nivel_criticidade
2015,1,2015-01-01,Norte,AM,Manaus,69.9,7.25,59.37,55.88,2.3,566,56400,Alto
2015,1,2015-01-01,Norte,PA,Belém,71.6,6.1,100.28,68.56,0.94,9478,90326,Baixo
2015,1,2015-01-01,Norte,PA,Santarém,76.8,11.05,80.91,57.28,3.68,6539,199254,Alto
2015,1,2015-01-01,Norte,RO,Porto Velho,70.7,4.32,76.32,76.93,3.76,6025,126939,Médio
2015,1,2015-01-01,Norte,TO,Palmas,71.1,5.6,70.61,51.93,3.52,2957,170250,Alto
2015,1,2015-01-01,Nordeste,BA,Salvador,69.4,6.15,70.4,95.81,3.31,10046,30888,Crítico
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,75.9,4.13,176.6,57.69,3.61,9488,148388,Médio
2015,1,2015-01-01,Nordeste,PE,Recife,71.5,4.9,119.06,76.1,1.19,11213,132866,Crítico
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,75.8,10.8,114.53,80.44,3.47,1698,46388,Médio
2015,1,2015-01-01,Nordeste,CE,Fortaleza,75.4,10.92,57.2,97.28,2.02,4571,165075,Médio
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,71.3,11.57,74.81,92.18,2.58,3998,110215,Médio
2015,1,2015-01-01,Nordeste,MA,São Luís,73.5,5.05,158.23,50.63,3.37,5829,39507,Baixo
2015,1,2015-01-01,Nordeste,PB,João Pessoa,77.6,4.84,42.29,75.82,1.32,11868,37227,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,71.2,8.57,160.82,67.24,1.62,3286,135350,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,72.4,10.62,154.36,54.64,1.86,8934,105428,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,75.8,6.88,150.76,78.92,2.04,8838,115696,Baixo
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,71.4,9.1,104.73,83.71,1.41,9553,83317,Baixo
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,73.0,10.72,155.94,64.83,3.8,9499,150761,Médio
2015,1,2015-01-01,Sudeste,SP,São Paulo,77.8,9.82,76.19,72.39,2.37,11980,177635,Alto
2015,1,2015-01-01,Sudeste,SP,Campinas,68.7,9.74,84.5,57.22,3.33,2232,17614,Médio
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,72.0,8.11,129.74,68.12,0.92,11401,165450,Médio
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,68.5,6.19,122.34,55.25,2.29,6667,85636,Alto
2015,1,2015-01-01,Sudeste,RJ,Niterói,69.4,8.7,169.54,96.33,3.95,11953,68569,Baixo
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,71.8,10.38,73.68,53.69,1.56,3425,116835,Alto
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,76.5,9.38,151.21,52.55,3.44,8127,14351,Crítico
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,71.1,11.78,176.9,70.19,1.28,6308,26792,Médio
2015,1,2015-01-01,Sudeste,MG,Uberlândia,75.1,8.38,174.42,80.45,3.7,4679,183721,Alto
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,72.6,7.49,126.68,85.33,1.3,8298,45682,Alto
2015,1,2015-01-01,Sudeste,ES,Vitória,72.4,11.44,164.51,96.2,3.36,494,160899,Alto
2015,1,2015-01-01,Sudeste,ES,Vila Velha,73.2,11.33,48.74,63.08,1.03,1731,79015,Alto
2015,1,2015-01-01,Sudeste,ES,Serra,78.4,9.63,102.88,58.23,2.99,6892,8820,Médio
2015,1,2015-01-01,Sul,PR,Curitiba,76.6,11.09,173.73,57.58,1.08,805,197112,Crítico
2015,1,2015-01-01,Sul,PR,Londrina,69.8,8.57,65.44,88.1,1.44,3979,55418,Alto
2015,1,2015-01-01,Sul,SC,Florianópolis,70.5,5.19,111.19,93.3,2.06,951,115263,Médio
2015,1,2015-01-01,Sul,SC,Joinville,75.5,5.48,51.4,66.9,3.23,7865,5443,Baixo
2015,1,2015-01-01,Sul,RS,Porto Alegre,74.5,9.29,175.42,78.26,3.35,2442,53508,Alto
2015,1,2015-01-01,Sul,RS,Caxias do Sul,75.1,6.93,162.62,59.7,3.34,2729,95214,Crítico
2015,2,2015-02-01,Norte,AM,Manaus,72.9,8.92,135.11,74.18,3.26,2050,1037,Crítico
2015,2,2015-02-01,Norte,PA,Belém,69.8,9.34,47.95,69.45,2.06,6160,142213,Alto
2015,2,2015-02-01,Norte,PA,Santarém,75.7,7.7,168.56,62.26,0.82,8641,107134,Crítico
2015,2,2015-02-01,Norte,RO,Porto Velho,76.0,11.62,41.01,82.95,3.03,10575,135147,Baixo
2015,2,2015-02-01,Norte,TO,Palmas,73.5,6.69,100.08,58.94,3.68,5562,103602,Baixo
2015,2,2015-02-01,Nordeste,BA,Salvador,71.1,4.08,113.22,93.91,1.72,7890,179958,Médio
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,68.9,4.26,131.85,55.19,1.41,5832,84745,Médio
2015,2,2015-02-01,Nordeste,PE,Recife,68.3,7.84,155.1,60.5,2.66,8513,20882,Médio
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,74.4,5.86,171.34,90.69,1.0,9664,34277,Baixo
2015,2,2015-02-01,Nordeste,CE,Fortaleza,70.9,4.69,161.99,64.26,1.22,10514,138404,Alto
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,68.8,6.87,152.13,64.58,3.18,3009,122090,Baixo
2015,2,2015-02-01,Nordeste,MA,São Luís,74.8,11.43,53.38,51.96,1.58,5528,140558,Crítico
2015,2,2015-02-01,Nordeste,PB,João Pessoa,70.1,11.46,44.57,67.7,3.62,6107,161554,Médio
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,72.5,5.33,122.04,53.32,3.2,10524,74399,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,75.9,6.57,70.77,71.31,2.61,4963,168574,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,78.2,8.31,167.91,84.44,2.95,9426,131674,Baixo
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,70.4,5.44,171.25,50.09,3.64,9007,96016,Crítico
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,78.8,9.85,117.34,91.76,1.58,5614,196851,Alto
2015,2,2015-02-01,Sudeste,SP,São Paulo,77.8,6.49,92.99,95.06,0.8,7637,65414,Baixo
2015,2,2015-02-01,Sudeste,SP,Campinas,75.0,10.29,139.28,94.39,1.02,10310,91625,Baixo
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,77.9,5.4,84.34,54.17,0.91,8909,24880,Baixo
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,74.5,4.42,147.47,59.14,1.48,11918,98076,Médio
2015,2,2015-02-01,Sudeste,RJ,Niterói,76.4,4.96,162.03,91.88,1.57,3010,141635,Baixo
